rank,item,category,tier,status,class_spec_score,likely_spec_count,situational_spec_count,material_cost,sell_price,net_sell_after_cut,profit,roi,available,recommended_quantity,material_source_summary,material_cost_detail,reason
1,Vial of the Sands,alchemy_mount,S,ok,4620,0,0,350476184,429999975,408499976,58023792,0.1656,4,1,1x Pyrium-Laced Crystalline Vial->vendor; 8x Sands of Time->vendor; 12x Truegold->craft(3x Pyrium Bar->AH; 10x Volatile Fire->AH; 10x Volatile Air->AH; 10x Volatile Water->AH); 8x Flask of the Winds->AH; 8x Flask of Titanic Strength->AH; 8x Deepstone Oil->AH,,High-ticket prestige mount with durable legacy demand
2,Illusionary Bag,tailoring_bag,S,ok,4610,0,0,9854688,29749945,28262447,18407759,1.8679,35,2,8x Dreamcloth->craft[Dream of Deepholm](8x Bolt of Embersilk Cloth->AH; 30x Volatile Earth->AH),,Premium Cataclysm bag with steady utility demand
5,Greater Crane Wing Inscription,shoulder_inscription,S,ok,4955,15,0,500,2495766,2370977,2370477,4740.954,114,9,3x Starlight Ink->trade(10x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Main Intellect shoulder enchant
6,Greater Tiger Claw Inscription,shoulder_inscription,S,ok,4815,9,2,500,2494449,2369726,2369226,4738.452,103,9,3x Starlight Ink->trade(10x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Main Agility shoulder enchant
37,Greater Tiger Fang Inscription,shoulder_inscription,A,ok,3415,5,3,500,2490035,2365533,2365033,4730.066,88,7,3x Starlight Ink->trade(10x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Strength shoulder enchant
7,Greater Cerulean Spellthread,tailoring_spellthread,S,ok,4785,9,0,740000,3000000,2850000,2110000,2.8514,21,14,1x Imperial Silk->craft[Silkworm Cocoon](8x Bolt of Windwool Cloth->craft(5x Windwool Cloth->AH)),,Phase 4 tailoring staple with broad utility
8,Greater Pearlescent Spellthread,tailoring_spellthread,S,ok,4775,9,0,740000,3000000,2850000,2110000,2.8514,32,10,1x Imperial Silk->craft[Silkworm Cocoon](8x Bolt of Windwool Cloth->craft(5x Windwool Cloth->AH)),,Phase 4 tailoring staple with broad utility
40,Greater Ox Horn Inscription,shoulder_inscription,B,ok,2355,5,0,500,1289799,1225309,1224809,2449.618,74,3,3x Starlight Ink->trade(10x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,"Tank shoulder enchant, niche demand"
10,Glyph of Arcane Power,glyph,S,ok,4555,1,0,500,979898,930903,930403,1860.806,18,3,3x Ethereal Ink->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Top glyph linked to a highly relevant raid spec
5,Truegold,alchemy_transmutation,A,ok,3580,0,0,2392820,3399899,3229904,837084,0.3498,78,1,3x Pyrium Bar->AH; 10x Volatile Fire->AH; 10x Volatile Air->AH; 10x Volatile Water->AH,,Key Cataclysm transmute feeding Vial of the Sands and other legacy crafts
23,Glyph of Rapid Displacement,glyph,A,ok,3475,3,0,500,538698,511763,511263,1022.526,35,1,3x Ink of the Sea->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Common Mage mobility pick
16,Glyph of Penance,glyph,S,ok,4495,1,0,500,378980,360031,359531,719.062,21,3,3x Ethereal Ink->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,High-priority PvE glyph for Discipline Priest demand
22,Glyph of Soulstone,glyph,A,ok,3485,3,0,500,199898,189903,189403,378.806,109,1,3x Celestial Ink->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Warlock utility glyph with steady situational demand
12,Glyph of Deterrence,glyph,S,ok,4535,1,0,500,199699,189714,189214,378.428,30,3,3x Celestial Ink->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,High-priority PvE glyph for Survival Hunter demand
17,Glyph of Holy Fire,glyph,S,ok,4485,1,0,500,199699,189714,189214,378.428,7,3,3x Midnight Ink->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,High-priority PvE glyph for Discipline Priest demand
11,Glyph of Animal Bond,glyph,S,ok,4545,1,0,500,149900,142405,141905,283.81,71,3,3x Ink of the Sea->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,High-priority PvE glyph for Survival Hunter demand
8,Mysterious Fortune Card,inscription_card,C,ok,1550,0,0,500,149790,142300,141800,283.6,3537,0,1x Blackfallow Ink->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Speculative inscription craft worth checking only when margins still hold
29,Glyph of Prayer of Mending,glyph,A,ok,3390,2,0,500,149096,141641,141141,282.282,12,2,3x Ink of the Sea->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Secondary Priest healer demand
13,Glyph of Spinning Crane Kick,glyph,S,ok,4525,1,0,500,147993,140593,140093,280.186,50,3,3x Ink of the Sea->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,High-priority PvE glyph for Windwalker demand
15,Glyph of Zen Meditation,glyph,S,ok,4555,3,0,500,146833,139491,138991,277.982,28,3,3x Jadefire Ink->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Common Monk utility/PvE demand
14,Glyph of Touch of Karma,glyph,S,ok,4515,1,0,500,146833,139491,138991,277.982,42,3,3x Ink of the Sea->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,High-priority PvE glyph for Windwalker demand
21,Glyph of Siphon Life,glyph,A,ok,3445,1,0,500,146833,139491,138991,277.982,43,1,3x Midnight Ink->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Strong secondary Warlock glyph
27,Glyph of Liberation,glyph,A,ok,3435,3,0,500,146833,139491,138991,277.982,39,1,3x Ink of the Sea->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Hunter secondary PvE option
9,Glyph of Unstable Affliction,glyph,S,ok,4565,1,0,500,139900,132905,132405,264.81,60,3,3x Ink of the Sea->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Top glyph linked to a highly relevant raid spec
19,Glyph of Savagery,glyph,S,ok,4465,1,0,500,138300,131385,130885,261.77,44,3,3x Lion's Ink->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,High-priority PvE glyph for Feral demand
26,Glyph of Pathfinding,glyph,A,ok,3445,3,0,500,130000,123500,123000,246.0,39,1,3x Ethereal Ink->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Hunter utility glyph with broader appeal
18,Glyph of Smite,glyph,S,ok,4475,1,0,500,129498,123023,122523,245.046,48,3,3x Celestial Ink->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,High-priority PvE glyph for Discipline Priest demand
30,Glyph of Dash,glyph,A,ok,3430,4,0,500,109900,104405,103905,207.81,27,2,3x Jadefire Ink->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Common Druid utility demand
25,Glyph of Cone of Cold,glyph,A,ok,3405,1,0,500,92126,87519,87019,174.038,29,2,3x Ink of the Sea->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Secondary Arcane option
31,Glyph of Healing Touch,glyph,A,ok,3345,1,0,500,88300,83885,83385,166.77,19,2,3x Lion's Ink->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Secondary Feral-related demand
32,Glyph of Rebirth,glyph,A,ok,3410,4,0,500,80000,76000,75500,151.0,19,2,1x Jadefire Ink->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,General Druid utility demand
20,Glyph of Shred,glyph,S,ok,4455,1,0,500,59997,56997,56497,112.994,52,3,3x Jadefire Ink->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,High-priority PvE glyph for Feral demand
24,Glyph of Arcane Explosion,glyph,A,ok,3415,1,0,500,48500,46075,45575,91.15,21,2,3x Ink of the Sea->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Secondary Arcane option
